sku,warehouse,lead_time,safety_stock,on_hand,on_order,inventory_position,forecast_lead_demand,ROP,order_up_to_S,need_order,suggest_qty
SKU001,WH_A,9,56.0,29.0,173.0,202.0,178.5,234.5,378.5,True,176.0
SKU001,WH_B,10,40.0,38.0,177.0,215.0,177.6,217.6,344.0,True,129.0
SKU002,WH_A,10,109.0,199.0,1174.0,1373.0,1124.6,1233.6,2031.5,False,0.0
SKU002,WH_B,11,89.0,614.0,977.0,1591.0,1144.2,1233.2,1967.7,False,0.0
SKU003,WH_A,3,101.0,458.0,101.0,559.0,268.3,369.3,1004.2,False,0.0
SKU003,WH_B,4,90.0,246.0,145.0,391.0,320.3,410.3,984.6,True,594.0
SKU004,WH_A,10,81.0,154.0,224.0,378.0,322.9,403.9,639.3,True,261.0
SKU004,WH_B,11,88.0,79.0,370.0,449.0,286.4,374.4,558.7,False,0.0
SKU005,WH_A,2,87.0,226.0,0.0,226.0,255.1,342.1,1310.7,True,1085.0
SKU005,WH_B,3,120.0,435.0,186.0,621.0,354.9,474.9,1363.7,False,0.0
SKU006,WH_A,4,50.0,51.0,189.0,240.0,185.5,235.5,562.6,False,0.0
SKU006,WH_B,5,55.0,67.0,349.0,416.0,196.8,251.8,526.4,False,0.0
SKU007,WH_A,9,21.0,57.0,195.0,252.0,245.2,266.2,458.8,True,207.0
SKU007,WH_B,10,25.0,134.0,189.0,323.0,275.5,300.5,502.1,False,0.0
SKU008,WH_A,2,44.0,135.0,227.0,362.0,181.1,225.1,926.4,False,0.0
SKU008,WH_B,3,52.0,225.0,209.0,434.0,267.1,319.1,965.2,False,0.0
SKU009,WH_A,3,91.0,265.0,0.0,265.0,281.0,372.0,1006.2,True,741.0
SKU009,WH_B,4,89.0,144.0,249.0,393.0,307.4,396.4,940.0,True,547.0
SKU010,WH_A,7,223.0,499.0,816.0,1315.0,947.1,1170.1,2117.3,False,0.0
SKU010,WH_B,8,310.0,733.0,674.0,1407.0,991.0,1301.0,2180.1,False,0.0
SKU011,WH_A,7,78.0,197.0,193.0,390.0,309.7,387.7,697.4,False,0.0
SKU011,WH_B,8,63.0,0.0,514.0,514.0,333.0,396.0,688.7,False,0.0
SKU012,WH_A,5,44.0,11.0,378.0,389.0,265.2,309.2,683.4,False,0.0
SKU012,WH_B,6,48.0,263.0,251.0,514.0,308.6,356.6,710.9,False,0.0
SKU013,WH_A,5,184.0,283.0,481.0,764.0,524.0,708.0,1436.0,False,0.0
SKU013,WH_B,6,138.0,309.0,653.0,962.0,474.2,612.2,1180.7,False,0.0
SKU014,WH_A,10,217.0,1067.0,105.0,1172.0,971.0,1188.0,1882.4,True,710.0
SKU014,WH_B,11,182.0,266.0,879.0,1145.0,1025.1,1207.1,1863.4,True,718.0
SKU015,WH_A,7,206.0,275.0,1061.0,1336.0,907.2,1113.2,2020.4,False,0.0
SKU015,WH_B,8,196.0,0.0,968.0,968.0,1077.6,1273.6,2217.2,True,1249.0
SKU016,WH_A,4,84.0,96.0,189.0,285.0,342.6,426.6,1023.8,True,739.0
SKU016,WH_B,5,106.0,365.0,220.0,585.0,426.5,532.5,1140.2,False,0.0
SKU017,WH_A,9,159.0,77.0,817.0,894.0,967.9,1126.9,1878.0,True,984.0
SKU017,WH_B,10,140.0,383.0,836.0,1219.0,931.8,1071.8,1742.8,False,0.0
SKU018,WH_A,9,106.0,221.0,499.0,720.0,604.0,710.0,1200.1,False,0.0
SKU018,WH_B,10,129.0,0.0,898.0,898.0,694.5,823.5,1290.5,False,0.0
SKU019,WH_A,3,86.0,469.0,83.0,552.0,246.0,332.0,934.1,False,0.0
SKU019,WH_B,4,85.0,318.0,0.0,318.0,338.3,423.3,1013.7,True,696.0
SKU020,WH_A,7,121.0,545.0,616.0,1161.0,981.0,1102.0,2082.9,False,0.0
SKU020,WH_B,8,155.0,440.0,931.0,1371.0,970.1,1125.1,1972.8,False,0.0
