sku_id,warehouse,days,mean_demand,std_demand,lead_time,safety_stock,stockout_days
SKU001,WH_A,250,21.26,11.15,9,52.11,12
SKU001,WH_B,250,21.75,11.79,10,49.51,69
SKU002,WH_A,250,116.6,25.58,10,106.82,23
SKU002,WH_B,250,114.04,26.7,11,112.5,13
SKU003,WH_A,250,91.79,35.46,3,96.77,5
SKU003,WH_B,250,91.97,36.59,4,110.94,18
SKU004,WH_A,250,31.05,11.29,10,64.96,21
SKU004,WH_B,250,29.78,12.18,11,66.76,13
SKU005,WH_A,250,138.53,51.01,2,101.74,53
SKU005,WH_B,250,136.18,46.02,3,122.7,33
SKU006,WH_A,250,44.75,18.74,4,56.32,24
SKU006,WH_B,250,43.48,18.05,5,56.58,20
SKU007,WH_A,250,29.75,7.09,9,25.3,29
SKU007,WH_B,250,29.28,6.88,10,28.81,26
SKU008,WH_A,250,101.98,24.81,2,49.33,19
SKU008,WH_B,250,97.27,22.76,3,59.13,18
SKU009,WH_A,250,82.6,36.12,3,95.12,25
SKU009,WH_B,250,82.02,35.54,4,109.98,32
SKU010,WH_A,250,131.94,61.3,7,276.59,16
SKU010,WH_B,250,130.47,70.58,8,293.42,13
SKU011,WH_A,250,45.24,16.81,7,62.76,30
SKU011,WH_B,250,44.42,16.33,8,66.85,15
SKU012,WH_A,250,55.97,16.2,5,53.02,12
SKU012,WH_B,250,55.59,17.54,6,57.97,10
SKU013,WH_A,250,101.53,55.76,5,189.31,21
SKU013,WH_B,250,108.08,55.39,6,187.94,49
SKU014,WH_A,250,102.42,47.94,10,228.15,18
SKU014,WH_B,250,105.17,43.31,11,214.5,59
SKU015,WH_A,250,137.26,52.96,7,205.4,72
SKU015,WH_B,250,138.72,55.54,8,217.98,35
SKU016,WH_A,250,88.94,30.79,4,98.39,29
SKU016,WH_B,250,89.18,31.78,5,108.6,14
SKU017,WH_A,250,105.9,36.23,9,154.12,45
SKU017,WH_B,250,108.15,37.18,10,161.14,43
SKU018,WH_A,250,70.33,30.75,9,125.71,68
SKU018,WH_B,250,71.37,30.2,10,129.6,45
SKU019,WH_A,250,93.05,35.64,3,101.87,7
SKU019,WH_B,250,90.84,37.84,4,106.37,55
SKU020,WH_A,250,135.16,40.25,7,144.21,41
SKU020,WH_B,250,133.28,41.77,8,169.64,28
