sku,warehouse,sd_A_global_fixed,fr_A,sd_B_per_sku_mean,fr_B,sd_C_prophet,fr_C,reduction_C_vs_A
SKU001,WH_A,3,0.8747855917667239,3,0.8747855917667239,3,0.8747855917667239,0
SKU001,WH_B,3,0.9222395023328149,3,0.9222395023328149,3,0.9222395023328149,0
SKU002,WH_A,0,1.0,0,1.0,0,1.0,0
SKU002,WH_B,0,1.0,0,1.0,0,1.0,0
SKU003,WH_A,2,0.964301852688658,0,1.0,0,1.0,2
SKU003,WH_B,0,1.0,0,1.0,0,1.0,0
SKU004,WH_A,1,0.9793577981651376,0,1.0,0,1.0,1
SKU004,WH_B,1,0.9889705882352942,1,0.9889705882352942,1,0.9889705882352942,0
SKU005,WH_A,2,0.9707520891364902,1,0.971866295264624,1,0.971866295264624,1
SKU005,WH_B,5,0.8572271386430679,0,1.0,0,1.0,5
SKU006,WH_A,0,1.0,0,1.0,0,1.0,0
SKU006,WH_B,2,0.9484126984126984,2,0.9484126984126984,2,0.9484126984126984,0
SKU007,WH_A,1,0.976857490864799,0,1.0,0,1.0,1
SKU007,WH_B,1,0.9804741980474198,0,1.0,0,1.0,1
SKU008,WH_A,1,0.9589985486211902,1,0.9589985486211902,1,0.9589985486211902,0
SKU008,WH_B,0,1.0,0,1.0,0,1.0,0
SKU009,WH_A,5,0.8429602888086642,1,0.9986462093862816,1,0.9986462093862816,4
SKU009,WH_B,5,0.8820335636722606,0,1.0,0,1.0,5
SKU010,WH_A,0,1.0,0,1.0,0,1.0,0
SKU010,WH_B,0,1.0,0,1.0,0,1.0,0
SKU011,WH_A,1,0.9851097178683386,0,1.0,0,1.0,1
SKU011,WH_B,1,0.955637707948244,1,0.955637707948244,1,0.955637707948244,0
SKU012,WH_A,0,1.0,0,1.0,0,1.0,0
SKU012,WH_B,0,1.0,0,1.0,0,1.0,0
SKU013,WH_A,0,1.0,0,1.0,0,1.0,0
SKU013,WH_B,3,0.9270871308786001,0,1.0,0,1.0,3
SKU014,WH_A,1,0.9553635709143269,0,1.0,0,1.0,1
SKU014,WH_B,8,0.8300205620287868,3,0.9448252227553119,3,0.9448252227553119,5
SKU015,WH_A,8,0.7567493864194165,3,0.9154622307062994,3,0.9154622307062994,5
SKU015,WH_B,0,1.0,0,1.0,0,1.0,0
SKU016,WH_A,3,0.9701427953266984,1,0.9965382951103419,1,0.9965382951103419,2
SKU016,WH_B,0,1.0,0,1.0,0,1.0,0
SKU017,WH_A,4,0.9106588478785789,4,0.9106588478785789,4,0.9106588478785789,0
SKU017,WH_B,4,0.8997955010224948,1,0.9856850715746421,1,0.9856850715746421,3
SKU018,WH_A,5,0.841107124551512,2,0.9610456176319836,2,0.9610456176319836,3
SKU018,WH_B,2,0.9181078331637843,0,1.0,0,1.0,2
SKU019,WH_A,0,1.0,0,1.0,0,1.0,0
SKU019,WH_B,5,0.8532188841201717,0,1.0,0,1.0,5
SKU020,WH_A,0,1.0,0,1.0,0,1.0,0
SKU020,WH_B,0,1.0,0,1.0,0,1.0,0
